content,timestamp,platform,stock_name,label
내가  버리니  오르네  신기함,2024-03-08T09:23:04+09:00,toss,삼성전자,
힘을내요 샘송,2024-12-04T17:41:10+09:00,toss,삼성전자,
"예전에도 소개드렸던 모건 하우절의 에서 탐욕과 두려움의 사이클에 대한 내용이 있는데 투자 시에 굉장히 유용해서 미국 증시든 국내 증시든 개별 주식이든 항상 대입해 봅니다

우리는 좋은 상황이 영원할 거라고 믿는다

그러면 나쁜 이야기에 둔감해진다

그다음엔 나쁜 이야기를 무시한다

그다음엔 나쁜 이야기를 부인한다

그다음엔 나쁜 상황 앞에서 패닉에 빠진다

그다음엔 나쁜 상황을 받아들인다

이제 나쁜 상황이 영원할 거라고 믿는다

그러면 좋은 이야기에 둔감해진다

그다음엔 좋은 이야기를 무시한다

그다음엔 좋은 이야기를 부인한다

그다음엔 좋은 상황을 받아들인다

이제 좋은 상황이 영원할 거라고 믿는다

사이클은 이렇게 흘러가는데 저는 지금 삼성전자가 좋은 이야기에 둔감해진다 단계에 있다고 봅니다 최근 삼성전자에 대한 좋은 소식이 적지 않게 들리고 있지만 대중과 언론은 크게 반응하지 않습니다

투자자라면 언제 사서 언제 팔아야 할까요 저는 항상 나쁜 상황이 영원할 거라고 믿는다 단계에서 모으고 좋은 상황이 영원할 거라고 믿는다 단계에서 서서히 빠져나오려고합니다

모두가 좋은 상황이 영원할 거라고 믿는 단계가 언제 올진 모르지만 합리적 낙관주의의 시각으로 인내를 갖고 계속 홀딩 예정입니다",2025-03-12T17:56:36+09:00,toss,삼성전자,
185,2025-02-03T09:20:15+09:00,toss,삼성전자,
"고진감래
좋은일만 있기를",2023-09-15T12:44:31+09:00,toss,삼성전자,
오른게 자사주 소각때문인가요 알고 바닥에서 산사람 있는거겠죠,2024-11-19T12:12:46+09:00,toss,삼성전자,
삼성음 더 오를것이다sk 최태원이 친중 짓거리 하니깐 삼성이 잘나간 것이다 더 오를것이다외국인이 2030 먹을려고 투자 하겠냐,2024-07-05T11:37:51+09:00,toss,삼성전자,
또 내려가,2024-11-12T09:00:37+09:00,toss,삼성전자,
외국인 산다 이제 시작이다 여기가 바닥이다,2024-10-23T15:03:42+09:00,toss,삼성전자,
선대 고 이건희 회장께서 지하에서 통곡을 하고 계실듯,2025-03-18T15:07:36+09:00,toss,삼성전자,
쭉쭉 가자,2024-04-24T20:12:48+09:00,toss,삼성전자,
와,2024-11-14T16:22:02+09:00,toss,삼성전자,
"마지막 기회일수도  팔기회 살기회
저도 모르겠지만 에라모르겠다 오후에 더 산 1인입니다",2023-07-07T14:01:59+09:00,toss,삼성전자,
삼성전자는 지난주 전략대로 8월 5일 79700원 아애로 내려와 버렸기 때문에 시가 부근에서 모두 매도를 하였습니다 삼성전자 역시 7월 초부터 차트는 조정을 보이며 하락 추세 가능성을 가지고 있었는데 마침 시장의 급격한 하락에 주가가 급락을 했습니다 7월 16일 수익실현을 어느 정도 하고 차트가 내려오면서는 추매를 하지 않겠다고 했었는데 다행히 전략은 잘 맞았습니다 8월 5일 10의 급락후 오늘의 154의 상승은 매우 아쉬운 모습입니다 회복 탄력성이 좋은 종목은 급락 후 빠르게 회복을 하며 이후 주도주 역할을 할 확률이 매우 높습니다 하락장에서는 그것을 확인할 수 있는데 삼성전자를 비롯한 반도체 주식들은 아직 아닌가 봅니다 저는 급락했다고 매수하는 매매 스타일이 아닙니다 다시 돌아 세우는 모습을 확인하고 매수를 하기 때문에 이제는 관망할 것입니다 지켜보겠습니다,2024-08-06T23:12:16+09:00,toss,삼성전자,
54200원 갭 메우고 가려나 아님 그 밑으로도 가려나,2024-11-21T08:59:01+09:00,toss,삼성전자,
"서로 서로 싸게 살려고 줄을  섰으니
떨어질리가 있나
김치국 그만 마시고 들어와 
버티기 달인을 이기려 하지 마시오",2024-07-30T11:01:15+09:00,toss,삼성전자,
"7매입에 3소각 효과없음오
계열사 초과 보유 분 매각어
외인 던지기어
대표 이슈어
 결론 괜히 들어왔어",2024-11-27T11:07:11+09:00,toss,삼성전자,
내일은 오를까,2024-03-11T16:09:17+09:00,toss,삼성전자,
외인들 다 팔았나,2024-09-25T10:10:01+09:00,toss,삼성전자,
이렇게 떨어지는데 왜 걱정이 안될까요,2024-11-05T16:57:50+09:00,toss,삼성전자,
진짜 잡주가 됐네,2024-06-10T09:18:55+09:00,toss,삼성전자,
삼전 조만간 6만고지 탈환한다,2024-10-23T16:17:27+09:00,toss,삼성전자,
"8282살아서7800원에 도달하자
이빠이 기둘리고 있다
 애가타네요",2025-03-12T11:50:19+09:00,toss,삼성전자,
"아주 삼전를가지고  를하네
3년기다려줄께
내돈먹으려면 3년동안 이 해라",2024-11-15T09:07:04+09:00,toss,삼성전자,
삼성전자를 안사서 길바닥에 나앉게 생겼습니다,2024-07-05T11:08:32+09:00,toss,삼성전자,
힘내 내사랑 삼송,2024-08-16T14:51:01+09:00,toss,삼성전자,
부럽습니다,2023-11-08T11:47:32+09:00,toss,삼성전자,
개미 오늘 판매 2천만주,2024-07-05T17:35:08+09:00,toss,삼성전자,
"아직도5층 
밥묵고 올게 6층가있어라",2025-03-12T11:56:46+09:00,toss,삼성전자,
공매도 없이 순매도세로 아사다 마오 직전이라니 대단하구먼,2024-11-14T00:15:23+09:00,toss,삼성전자,
"버는것보다 잃지않는것이 제1 목표이거늘
기업의 펀더멘털이 깨졌는데
불나방처럼 왜 그러시는지
버는것도 중요하지만 잃지않고 지키는게 더욱더 중요합니다
아직 삼성은 아무것도 바뀐게 없습니다
덜 먹더라도 지켜보고 진입하는것은 권장합니다",2024-10-21T22:07:28+09:00,toss,삼성전자,
헐 100원씩 오르는거 실화임,2024-06-14T11:51:57+09:00,toss,삼성전자,
,2025-03-21T11:09:21+09:00,toss,삼성전자,
이번주 지켜보고 적금 깨야것다,2024-09-09T09:46:44+09:00,toss,삼성전자,
"진입하고 손절 몇번째지진짜 말도안되는 주가그래프  이건 정상이아니야
하 내돈",2024-11-13T13:48:41+09:00,toss,삼성전자,
4만전자네,2024-11-13T13:30:17+09:00,toss,삼성전자,
"마이너스 기업도
위로 올라가는게 주식이야
삼성은 아직 그다지 마이너스도
않인데 외이리 호들값",2024-10-29T11:00:19+09:00,toss,삼성전자,
"떨어지면 8만 이후 오르락 내리락하면 8800원
찍고 9만갑니다  8만까지 안떨어지고 오를수도 있어요 그리고 삼전은 절대 수직상승 안합니다
참고하시고 돈많이버셔요",2024-07-22T09:55:09+09:00,toss,삼성전자,
재고가 줄어들지 않았다고 하던데,2023-11-24T14:19:51+09:00,toss,삼성전자,
근데 확실한건 지금 53은 무조건 지지하네,2024-12-18T10:34:02+09:00,toss,삼성전자,
외상 철회하라,2024-11-13T13:16:23+09:00,toss,삼성전자,
주가 조금 올려놓고 외놈들 개인한테 떠넘기고 가네,2024-04-22T13:25:05+09:00,toss,삼성전자,
데드 캣 떴을 때 팔고 나간 삼전 주주면 개추,2024-11-05T09:57:56+09:00,toss,삼성전자,
"다들 몇층에 계시나요
전 65층이랑 59층입니다",2024-10-18T13:02:56+09:00,toss,삼성전자,
김종국이 부릅니다,2024-12-11T14:02:21+09:00,toss,삼성전자,
대만지진으로  TSMC 생산라인직원 대피령내렸음,2024-04-03T12:24:53+09:00,toss,삼성전자,
와 7만 얼마만이냐,2023-09-01T14:07:43+09:00,toss,삼성전자,
"02년생 개미 현재 
삼성전자 주식 175주 평균단가 6100원 보유중
주가가 5400원대 근처면 주기적으로 물타서 계속 
평단가 낮추고 보유수량 늘려갈 예정입니다
사람들이 암만 욕해도 국장에서 장투하기 삼성전자만한 종목 없습니다 월봉연봉차트가 증명

세계적으로 hbm의 수요와 관심이 높아지고있고 
올해말 삼성전자 HBM4개발에 대한 기대도 있는만큼
기다리기만 한다면 23년내로 주가가 6만이상은 갈 확률이 높다고 예상합니다

여러분들은 어떻게 생각하시나요",2025-01-14T20:04:53+09:00,toss,삼성전자,
추매타임,2024-02-05T11:50:55+09:00,toss,삼성전자,
개십샹똥꾸릉내 쓰리기주식,2024-02-20T12:40:52+09:00,toss,삼성전자,
이재용 전 직원에게 특급 오더  막 좀 사도,2024-09-26T09:33:08+09:00,toss,삼성전자,
지금 사면 안될까요,2023-07-07T19:36:28+09:00,toss,삼성전자,
"외인들 다시 매수세 보이기시작 

빨리 풀매수 갈기세요 

외인들 매수세가 점점 쎄집니다",2024-09-23T08:48:32+09:00,toss,삼성전자,
삼성전자A005930,2024-12-09T09:10:01+09:00,toss,삼성전자,
