content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
회사 망했냐 재용아,2024-11-13 02:34:55+00:00,toss,삼성전자,11197876.0,5.167060738748129e-57,,0.8,0.0,0.2,"회사의 부정적 상황 언급으로 공포 비중이 높으며, 질문 형태로 중립적 요소도 포함"
와이번달 내내 같은 금액이구낭,2024-02-26 05:43:04+00:00,toss,삼성전자,33736987.0,2.624995639537684e-170,,0.0,0.0,1.0,"감정이 뚜렷하지 않고, 정보 전달의 성격이 강함"
야호 7만전자로 돌아와따,2024-08-05 08:22:22+00:00,toss,삼성전자,19817029.0,2.4467184665056317e-100,,0.0,0.9,0.1,흥분과 자신감 표현으로 탐욕 비중이 높음
4만원 오면 사야되나,2024-10-24 06:18:42+00:00,toss,삼성전자,12912449.0,1.2440719632422028e-65,,0.0,0.0,1.0,"질문 형태로 감정이 뚜렷하지 않으며, 고민 또는 관망 태도를 보임"
삼만원대 물타야 그나마 정권  교체때 본전 찾을듯,2024-11-13 00:15:26+00:00,toss,삼성전자,11206245.0,4.6900375012970887e-57,,0.6,0.1,0.3,손실 회복에 대한 기대와 정권 교체 시점 언급으로 공포와 중립 감정이 혼재함
개미들 울부짖는거보니 슬슬 들어갈때 된거같네요,2024-10-24 06:55:50+00:00,toss,삼성전자,12910221.0,1.276570107620309e-65,,0.3,0.6,0.1,개미들 울부짖는 상황을 탐욕의 기회로 보는 관점이 반영됨
한 2월 말쯤에 팔수있겠군,2025-01-16 00:14:22+00:00,toss,삼성전자,5676709.0,2.922142949302312e-29,,0.1,0.2,0.7,미래 판매 계획 언급으로 중립 비중이 높음
"어차피 그동안 외인이 판 매도량 국내 개미들이 매수해줬고
이제 외인들이 사면서 국내 개미들이 털겠지
주가는 항상 손바뀜 일어나면서 오르니깐",2024-09-26 00:06:51+00:00,toss,삼성전자,15353960.0,6.6443500909789695e-78,,0.3,0.4,0.3,"외인 매수와 주가 상승 기대감이 탐욕을 나타내지만, 개미 투자자들의 손실 가능성 언급으로 공포도 함께 표현됨"
"아니 삼성은 짱이 나와 수습안하나요
맨날 쫄다구만 사과하고
짱나네요",2024-11-06 02:33:50+00:00,toss,삼성전자,11802741.0,4.7082061166727545e-60,,0.8,0.0,0.2,비난과 불만의 표현으로 공포 비중이 높음
52까지가려나,2025-01-17 01:08:51+00:00,toss,삼성전자,5587040.0,8.249502388751506e-29,,0.0,0.0,1.0,질문 형식이며 감정이 뚜렷하지 않아 중립으로 판단
낼이 문재네,2024-11-19 07:15:47+00:00,toss,삼성전자,10662624.0,2.533482964156329e-54,,0.0,0.0,1.0,감정이 뚜렷하지 않은 중립적 표현
"이제 71만원 손해에서 70만원 손해네 
고맙다 삼전",2024-11-20 02:12:12+00:00,toss,삼성전자,10594439.0,5.577681913657008e-54,,0.8,0.0,0.2,"손실 감소에 대한 감사 표현이 있지만, 여전히 손실 상황에 대한 언급으로 공포 비중이 높음"
아휴잠시휴식좀,2024-01-10 08:17:01+00:00,toss,삼성전자,37788550.0,1.1316659250566395e-190,,0.1,0.0,0.9,"직접적인 부정적 감정 표현이 없으며, 휴식을 언급함으로써 중립적인 태도가 더 높게 평가됨"
본전만 치자제발,2024-11-11 23:39:50+00:00,toss,삼성전자,11294781.0,1.6832363788138497e-57,,0.6,0.1,0.3,"본전을 회복하고자 하는 바람이지만, 손실에 대한 두려움이 느껴짐"
삼성전자A005930,2024-07-05 05:46:55+00:00,toss,삼성전자,22504756.0,7.560880399400555e-114,,0.0,0.0,1.0,"특정 감정을 나타내는 단어가 없으며, 주식 종목 코드만 언급됨"
형님들 저도 마스에 물려있어요 힘내죠,2025-01-02 01:06:58+00:00,toss,삼성전자,6883153.0,2.5202436153440876e-35,,0.8,0.0,0.2,"손실 언급으로 공포 비중이 높으며, 동조와 위로의 말로 중립적 요소도 포함"
심각하긴하다 하,2024-10-07 02:12:22+00:00,toss,삼성전자,14396029.0,4.340570408677029e-73,,0.2,0.1,0.7,불확실한 표현으로 중립 비중이 높음
브로드컴 삼성전자 SK하이닉스에 HBM4 러브콜,2024-12-25 03:34:09+00:00,toss,삼성전자,7565522.0,9.364318756941059e-39,,0.0,0.0,1.0,"정보 전달의 성격이 강하며, 감정적인 표현이 없음"
그분들이 오고있어요,2024-02-05 05:38:39+00:00,toss,삼성전자,35551652.0,1.9843232861380384e-179,,0.2,0.6,0.2,"‘그분들이 오고있어요’는 기대감이나 흥분을 암시할 수 있으나, 명확한 맥락이 없어 탐욕과 중립 모두를 포함"
일단 익절,2025-03-18 02:43:43+00:00,toss,삼성전자,397348.0,0.0100625447888131,,0.0,0.8,0.2,"익절(이익 실현)은 탐욕의 표현으로 볼 수 있으며, 일단이라는 말은 약간의 중립적 고민을 내포함"
"삼성일가가 삼성 지분 팔아서 상속세 내는 중임
지가 지를 공매도 치는 기적을 창출하고 있음
그러니 위로 갈리가 있나",2023-11-06 02:49:48+00:00,toss,삼성전자,43424183.0,5.319741529792873e-219,,0.8,0.05,0.15,시장 조작 및 손실 우려로 공포 비중이 높음
닉스 년중 최고가 문자 계속오네,2024-05-27 02:01:09+00:00,toss,삼성전자,25887902.0,7.464450453337103e-131,,0.1,0.8,0.1,년중 최고가 문자 언급으로 탐욕 비중이 높음
정찰병 투입,2024-10-17 01:45:47+00:00,toss,삼성전자,13533624.0,9.385864209499131e-69,,0.0,0.0,1.0,"감정이 뚜렷하지 않고, 구체적인 정보나 의견이 없음"
어째 내돈,2024-11-13 05:52:06+00:00,toss,삼성전자,11186045.0,5.925332921555296e-57,,0.6,0.1,0.3,"부정적인 감정의 표현으로 공포 비중이 높으나, 구체적인 손실 언급이 없어 중립적 해석의 여지 있음"
증시회복 했는데10올려놔요,2024-08-07 00:30:31+00:00,toss,삼성전자,19672540.0,1.3027651203489929e-99,,0.0,0.8,0.2,"증시 회복 언급으로 탐욕 비중이 높으며, 상승 기대감 표현"
삼전에 물량찔끔주고 야삼전은 이가격에 준다는대하닉은 얼마에줄래 로 가격후려치고 대부분 물량은 하닉에 줄가능성이 매우높습니다,2024-12-04 03:56:42+00:00,toss,삼성전자,9378569.0,7.212619130316287e-48,,0.1,0.3,0.6,시장 분석과 예측으로 중립 비중이 높음
2년만에 양전,2023-12-14 00:04:11+00:00,toss,삼성전자,40150920.0,1.5105390329275847e-202,,0.1,0.7,0.2,양전(양의 전환)은 긍정적인 변화를 의미하여 탐욕 비중이 높음
