content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
오로지 미국만 바라보네,2024-11-14 08:39:52+00:00,toss,삼성전자,11089579.0,1.8096915409141769e-56,,0.0,0.0,1.0,감정이 뚜렷하지 않고 특정 시장에 대한 관찰이나 의존성을 나타냄
외국인들 맨날 던지네,2024-12-05 01:09:24+00:00,toss,삼성전자,9302207.0,1.7455444284048002e-47,,0.6,0.1,0.3,"외국인 투자자의 매도 행위 언급으로 공포 비중이 높으나, 직접적인 손실 언급이 없어 중립적 요소도 일부 포함"
토스 고객센터에선 토스랑 관계없다는데 맞는겁니까,2023-07-10 06:25:55+00:00,toss,삼성전자,53692816.0,1.2883282900225128e-270,,0.0,0.0,1.0,질문 형태로 정보 확인을 요청하는 중립적 태도
왜이럼,2025-02-11 00:04:21+00:00,toss,삼성전자,3430910.0,5.679852092898429e-18,,0.1,0.1,0.8,질문 형태로 감정이 뚜렷하지 않음
냠냠,2024-11-22 04:07:37+00:00,toss,삼성전자,10414714.0,4.465309962394766e-53,,0.0,0.0,1.0,감정이 뚜렷하지 않은 표현으로 중립 비중이 높음
"그 높다는 코시국 때 들어와 반강제 장투가 되어 버렸지만 애정한다
안팔꺼야
더 살꺼야",2024-03-29 01:23:14+00:00,toss,삼성전자,30987777.0,1.730565300073027e-156,,0.2,0.4,0.4,애정과 더 살 것이라는 표현으로 탐욕과 중립이 혼재됨
이슈넼,2024-10-25 01:19:17+00:00,toss,삼성전자,12844014.0,2.746868677462232e-65,,0.0,0.0,1.0,제공된 문장은 감정을 분석할 수 있는 충분한 정보가 없음
도로 아미타불,2024-12-03 06:55:32+00:00,toss,삼성전자,9454239.0,3.004232007314973e-48,,0.8,0.0,0.2,"부정적인 상황을 의미하며, 손실이나 후회의 감정을 암시함"
이야,2024-10-10 01:07:23+00:00,toss,삼성전자,14140728.0,8.333581887355619e-72,,0.0,0.0,1.0,감정이 뚜렷하지 않은 중립적 표현
이가격 언제오려나,2024-10-08 00:11:30+00:00,toss,삼성전자,14316881.0,1.0848974776335468e-72,,0.0,0.0,1.0,"질문 형태로 감정이 뚜렷하지 않고, 관망 태도를 보임"
2주,2024-10-07 02:03:18+00:00,toss,삼성전자,14396573.0,4.313326748370288e-73,,0.0,0.0,1.0,감정이 뚜렷하지 않고 구체적인 정보나 의견이 없음
오늘 오르겎네 57층,2025-02-12 23:50:31+00:00,toss,삼성전자,3258940.0,4.156750411507719e-17,,0.0,0.9,0.1,기대감과 자신감 표현으로 탐욕 비중이 높음
오만전자 육만전자 할 때가 아냐 너는 짜샤 물갈이하는 김에 다시 올라가,2024-10-29 03:05:06+00:00,toss,삼성전자,12492065.0,1.6140962628457246e-63,,0.2,0.6,0.2,긍정적인 기대감과 자신감이 표현되어 탐욕 비중이 높음
"6100인데
물타기할까요
탈출하고싶어요",2025-02-10 07:39:21+00:00,toss,삼성전자,3490010.0,2.8659429248305773e-18,,0.7,0.0,0.3,"탈출하고 싶다는 표현으로 공포 비중이 높으며, 물타기에 대한 고민으로 중립적 태도도 일부 포함됨"
