content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
예산안 간첩죄 탄핵안  보고도 선동당하니 에휴  그 머리로 주식은 어떻게 하는건지,2024-12-15 02:05:32+00:00,toss,삼성전자,8434839.0,3.997653683360175e-43,,0.6,0.0,0.4,"부정적인 언급과 비꼬는 태도로 인해 공포 비중이 높으나, 구체적인 주식 시장의 움직임에 대한 언급이 없어 중립 비중도 함께 고려됨"
이형 왠일이여,2025-01-06 02:01:27+00:00,toss,삼성전자,6534284.0,1.4290659253186236e-33,,0.0,0.0,1.0,질문이나 감정 표현이 명확하지 않아 중립으로 판단
,2024-11-13 05:53:35+00:00,toss,삼성전자,11185956.0,5.931439707844153e-57,,0.0,0.0,1.0,분석할 수 있는 내용이 없음
아니 왜이리 주주딱지에 목매는지몰라 넣을타이밍아니라서 안넣고있는건데,2024-11-13 09:19:47+00:00,toss,삼성전자,11173584.0,6.8446095246371e-57,,0.2,0.1,0.7,투자 타이밍에 대한 고민과 관망 태도로 중립 비중이 높음
혹시 다들 평단가가 어떻게 되는지 여쭤봐도 될까요,2023-07-27 05:14:48+00:00,toss,삼성전자,52228283.0,2.9619956692176038e-263,,0.0,0.0,1.0,질문 형태로 정보를 요청하는 중립적 태도
유우우어어,2023-05-31 07:39:37+00:00,toss,삼성전자,57144394.0,5.760692586614239e-288,,0.0,0.0,1.0,감정을 특정할 수 있는 정보가 없음
와49900원 다시 보는건가,2024-11-27 00:27:58+00:00,toss,삼성전자,9995893.0,5.689564595324793e-51,,0.1,0.2,0.7,"가격 언급이 있으나, 감정의 표현이 뚜렷하지 않아 중립적 해석이 가능함"
목표가,2024-11-15 07:49:24+00:00,toss,삼성전자,11006207.0,4.749836113707533e-56,,0.0,0.0,1.0,감정이 뚜렷하지 않고 정보 전달의 성격이 강함
2025년도 금모으기 운동,2025-01-31 08:14:13+00:00,toss,삼성전자,4351918.0,1.3330249384986711e-22,,0.0,0.0,1.0,감정 표현 없이 정보 전달의 성격이 강함
왜 하이닉스랑  삼전을  자꾸  비교하는지  1도 모르겠네요,2024-08-20 12:28:06+00:00,toss,삼성전자,18506285.0,9.486647802645776e-94,,0.0,0.0,1.0,감정이 뚜렷하지 않고 정보 전달 또는 질문의 형태로 중립적 태도를 보임
"최후의 방어선은 발바닥 피부
3만전자  
이마저 무너지면 탈출",2024-10-25 01:10:49+00:00,toss,삼성전자,12844522.0,2.730765493766172e-65,,0.8,0.0,0.2,방어선 무너짐과 탈출 언급으로 공포 비중이 높음
주린이 삼전 다시 샀어용,2025-03-07 06:18:00+00:00,toss,삼성전자,1334891.0,1.950270997786281e-07,,0.1,0.7,0.2,재구매 의사 표현으로 탐욕 비중이 높음
"이딴게 한국1위주식
한국주식 답도 없네",2024-08-05 03:25:24+00:00,toss,삼성전자,19834847.0,1.9907687555875863e-100,,0.8,0.0,0.2,비판적 언급과 한국 주식에 대한 부정적인 평가로 공포 비중이 높음
갤럭시S25울트라가극찬이라던데 최신관련영상어디가야참고되나요,2024-12-20 07:28:06+00:00,toss,삼성전자,7983485.0,7.422693921586783e-41,,0.0,0.0,1.0,정보를 요청하는 중립적인 문장
내일 다시 진입,2024-04-24 08:45:51+00:00,toss,삼성전자,28714820.0,4.606115054869531e-145,,0.0,0.4,0.6,재진입 의사 표현으로 탐욕과 중립적 태도의 혼합
목표가 하향,2024-12-10 15:14:06+00:00,toss,삼성전자,8819525.0,4.657568526722177e-45,,0.8,0.0,0.2,목표가 하향 조정은 부정적 전망을 의미하여 공포 비중이 높음
이렇게 바로 간다구,2024-10-28 05:08:29+00:00,toss,삼성전자,12571062.0,6.46913996983948e-64,,0.0,0.8,0.2,흥분과 자신감의 표현으로 탐욕 비중이 높음
"오를 거면 화끈하게 가던가 빠질거면 쫙 빠져라
물이나 타게 
횡보가 제일 짜증",2023-07-05 00:57:40+00:00,toss,삼성전자,54144511.0,6.911242053352427e-273,,0.6,0.2,0.2,"짜증과 불만의 표현으로 공포 비중이 높으나, 상승과 하락에 대한 기대감과 횡보에 대한 불만으로 탐욕과 중립의 요소도 포함"
진짜 욕나오네 쓰래기전자,2024-11-12 00:01:18+00:00,toss,삼성전자,11293493.0,1.7085170356244578e-57,,0.8,0.0,0.2,비속어 사용과 부정적 언급으로 공포 비중이 높음
미장에서도 돈버는데 굳이 분리수거장 같은 국장은 안한다,2024-12-06 04:13:46+00:00,toss,삼성전자,9204745.0,5.392984313954328e-47,,0.1,0.6,0.3,"미국 시장에서의 수익 언급으로 탐욕 비중이 높으나, 국내 시장에 대한 부정적 언급으로 공포도 일부 반영됨"
"이부진 효과는 잠시지만
대세는 변하지 않는다",2024-04-09 02:42:10+00:00,toss,삼성전자,30032641.0,1.0945435948535816e-151,,0.2,0.3,0.5,대세 변화에 대한 믿음과 잠시의 효과 언급으로 탐욕과 중립이 혼재됨
