content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
삼성맨들은 이재용 경영 능력이 뛰어나다고 생각하지 않는다는데 어케 생각하심,2024-06-05 00:16:22+00:00,toss,삼성전자,25116589.0,5.6240117072757355e-127,,0.0,0.0,1.0,질문 형식으로 감정 표현 없이 정보를 요청하는 중립적 태도
,2024-11-28 10:27:09+00:00,toss,삼성전자,9873542.0,2.344678209107181e-50,,0.0,0.0,1.0,문장이 제공되지 않았거나 분석할 수 없는 내용
8만에서 61590까지 온 보람이 있네,2025-03-21 02:04:05+00:00,toss,삼성전자,140526.0,0.1966247216323569,,0.0,1.0,0.0,보람이 있다는 긍정적인 표현으로 탐욕 비중이 높음
오늘 5만전자 간다 안간다,2024-10-15 01:02:21+00:00,toss,삼성전자,13709030.0,1.2324976409365346e-69,,0.0,0.0,1.0,"질문 형태로 감정이 뚜렷하지 않고, 고민 또는 관망의 태도를 보임"
원금이 없어진다는 국장에 손을 댑니다,2025-01-02 03:48:39+00:00,toss,삼성전자,6873452.0,2.8197145662885847e-35,,0.8,0.0,0.2,"원금 손실 언급으로 공포 비중이 높으며, 조심스러운 행동을 나타내는 표현 포함"
"그래도 옆동내 하닉만큼은 안빠지는게 다행인가
삼전은 그래도 미래적으로 봤을때 그나마 괜찮거나
저평가는 확실한것 같기도",2024-04-22 00:06:16+00:00,toss,삼성전자,28918795.0,4.345531666957368e-146,,0.2,0.3,0.5,"미래적 긍정과 저평가 언급으로 탐욕 비중이 있으나, 대체로 중립적 관점에서 분석하는 내용이 많음"
올랐다,2024-12-30 00:41:54+00:00,toss,삼성전자,7143857.0,1.2331023814867344e-36,,0.0,0.8,0.2,"상승 언급으로 탐욕 비중이 높으나, 감정 표현이 명확하지 않아 중립도 일부 포함"
"삼성 갤탭 왜 그따구로 만들어
원가절감 적당히 해라",2024-10-08 02:17:30+00:00,toss,삼성전자,14309321.0,1.1841029596768115e-72,,0.7,0.0,0.3,부정적인 평가와 원가 절감에 대한 불만으로 공포 비중이 높음
"넘 늦게 들어왔다
낚시 바늘에 걸렸다",2024-09-26 12:57:20+00:00,toss,삼성전자,15307731.0,1.1345540435393028e-77,,0.8,0.0,0.2,늦게 들어왔다고 느끼고 낚시 바늘에 걸렸다는 표현으로 공포가 높게 나타남
애국하는 마음으로 삼성전자 주식삼 힘내라 삼성전자 문 정권 때 시달리느라 피같은 시간 날리고,2024-10-11 00:28:17+00:00,toss,삼성전자,14056674.0,2.204620734182049e-71,,0.6,0.1,0.3,"시달림과 시간 날림 언급으로 공포 비중이 높으나, 응원의 말로 중립적 감정도 일부 포함"
"더 높으시면 댓글좀
코스피 안 오르네",2024-11-08 04:14:09+00:00,toss,삼성전자,11623922.0,3.729917917529924e-59,,0.2,0.0,0.8,"코스피 상승에 대한 기대가 없으며, 정보 전달의 성격이 강함"
국장은 안하지만 4200원되면 주우러 올께용,2024-11-13 05:01:34+00:00,toss,삼성전자,11189077.0,5.721003815082738e-57,,0.1,0.7,0.2,기대감과 특정 가격에 매수하겠다는 의사 표현으로 탐욕 비중이 높음
삼전은 항상 비실비실 남들오를때 못오르다가 떨어질때만 같이 떨어짐,2025-03-14 03:36:34+00:00,toss,삼성전자,739777.0,0.0001911917328916,,0.8,0.0,0.2,하락과 비교적 부정적인 시장 움직임 언급으로 공포 비중이 높음
